Lead ID,Company,Industry,Budget,Urgency,Company_Size,Country,Email,Employees,Converted
1,Eadel,Finance,High,High,Small,Belarus,mbrasted0@tinypic.com,3717,false
2,Youfeed,Finance,Medium,Low,Medium,China,abantham1@ehow.com,3791,false
3,Skynoodle,Technology,Medium,High,Medium,Japan,acescon2@homestead.com,4704,true
4,Omba,Technology,Low,High,Large,Tanzania,rrichen3@google.pl,4922,false
5,Eayo,Finance,Low,High,Small,Poland,lekins4@xrea.com,1903,true
6,Kanoodle,Manufacturing,Medium,Medium,Small,Ireland,ckingh5@is.gd,1738,true
7,Buzzster,Manufacturing,High,High,Large,Bangladesh,febdin6@eventbrite.com,752,false
8,Youspan,Finance,Medium,High,Small,Croatia,dgwyllt7@wired.com,4139,false
9,Gabcube,Manufacturing,High,Medium,Small,Lesotho,nabrahamoff8@behance.net,17,false
10,Buzzdog,Healthcare,High,Low,Large,Finland,sbullman9@alexa.com,241,false
11,Voolith,Manufacturing,High,High,Small,Poland,ttetforda@newyorker.com,193,true
12,Eabox,Technology,High,Medium,Large,Portugal,cgirvanb@jimdo.com,975,true
13,Ntag,Technology,Low,High,Medium,Indonesia,speterffyc@java.com,2364,false
14,Trudoo,Retail,High,Low,Large,Cameroon,wdanihelkad@indiatimes.com,2918,true
15,Nlounge,Finance,Medium,High,Medium,Egypt,otrainore@sogou.com,3778,false
16,Eare,Technology,High,High,Small,Brazil,fcharopenf@so-net.ne.jp,598,false
17,Jazzy,Finance,Low,Low,Large,Canada,pcampleng@narod.ru,1974,true
18,Jabberbean,Finance,Medium,Medium,Large,Philippines,zkirimaah@whitehouse.gov,2288,false
19,Eimbee,Education,Low,Low,Medium,South Georgia and the South Sandwich Islands,fpenqueti@example.com,1189,true
20,Zoozzy,Healthcare,High,Low,Small,Czech Republic,jmaccaughanj@omniture.com,4992,true
21,Jamia,Healthcare,High,Low,Large,Philippines,ffarendenk@usgs.gov,4370,false
22,Innotype,Retail,Medium,High,Large,Philippines,mdungeel@hibu.com,442,false
23,Fanoodle,Technology,Low,Medium,Small,Portugal,frojasm@salon.com,2655,false
24,Skilith,Education,High,Low,Small,Iran,gbetchleyn@oaic.gov.au,120,false
25,Skinder,Finance,High,Medium,Large,Philippines,mgillano@nih.gov,815,true
26,Feedmix,Education,Low,Low,Small,Brazil,rguerrinp@ifeng.com,3929,true
27,Dynabox,Education,Low,Low,Small,Philippines,clambalq@reference.com,2937,true
28,Tazz,Healthcare,Low,Medium,Medium,Indonesia,mdonatr@gov.uk,115,true
29,Lazz,Healthcare,High,Low,Medium,Ireland,jbattelles@europa.eu,4694,false
30,Kazu,Education,High,Low,Small,Greece,gmichelint@statcounter.com,4606,false
31,Oyondu,Retail,Medium,Low,Large,China,jcolebornu@indiegogo.com,1322,false
32,Gabtype,Technology,Medium,Low,Small,China,ybacupv@craigslist.org,4163,false
33,Yodel,Healthcare,High,Low,Large,Palestinian Territory,ggitthousew@omniture.com,3406,true
34,Flipstorm,Technology,Low,High,Large,Venezuela,fcellerx@toplist.cz,3131,false
35,Trilia,Retail,High,Medium,Small,Canada,fisakovitchy@deviantart.com,571,true
36,Devbug,Technology,High,High,Large,China,adcruzez@ycombinator.com,3105,true
37,Photobug,Manufacturing,High,Medium,Small,Venezuela,ofairham10@opera.com,4100,false
38,Meemm,Retail,Medium,Low,Small,Indonesia,ujado11@ameblo.jp,2153,true
39,Twitterlist,Finance,Low,Medium,Small,China,edudley12@angelfire.com,2897,false
40,Trilith,Retail,Low,Medium,Medium,Indonesia,dbrimicombe13@photobucket.com,268,true
